1	10	11	20	21	22	
2	9	12	19	24	23	
3	8	13	18	25	26	
4	7	14	17	28	27	
5	6	15	16	29	30	
0	35	34	33	32	31	

1	10	11	22	23	24	
2	9	12	21	20	25	
3	8	13	18	19	26	
4	7	14	17	28	27	
5	6	15	16	29	30	
0	35	34	33	32	31	

1	10	11	22	23	24	
2	9	12	21	26	25	
3	8	13	20	27	28	
4	7	14	19	18	29	
5	6	15	16	17	30	
0	35	34	33	32	31	

1	10	11	24	25	26	
2	9	12	23	22	27	
3	8	13	20	21	28	
4	7	14	19	18	29	
5	6	15	16	17	30	
0	35	34	33	32	31	

1	10	11	18	19	20	
2	9	12	17	22	21	
3	8	13	16	23	24	
4	7	14	15	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	10	11	20	21	22	
2	9	12	19	18	23	
3	8	13	16	17	24	
4	7	14	15	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	10	11	16	17	18	
2	9	12	15	20	19	
3	8	13	14	21	22	
4	7	30	29	28	23	
5	6	31	32	27	24	
0	35	34	33	26	25	

1	10	11	16	17	18	
2	9	12	15	20	19	
3	8	13	14	21	22	
4	7	32	31	30	23	
5	6	33	28	29	24	
0	35	34	27	26	25	

1	10	11	16	17	18	
2	9	12	15	20	19	
3	8	13	14	21	22	
4	7	32	31	24	23	
5	6	33	30	25	26	
0	35	34	29	28	27	

1	10	11	16	17	18	
2	9	12	15	20	19	
3	8	13	14	21	22	
4	7	26	25	24	23	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	10	11	24	25	26	
2	9	12	23	22	27	
3	8	13	14	21	28	
4	7	16	15	20	29	
5	6	17	18	19	30	
0	35	34	33	32	31	

1	10	11	18	19	20	
2	9	12	17	16	21	
3	8	13	14	15	22	
4	7	30	29	28	23	
5	6	31	32	27	24	
0	35	34	33	26	25	

1	10	11	18	19	20	
2	9	12	17	16	21	
3	8	13	14	15	22	
4	7	32	31	30	23	
5	6	33	28	29	24	
0	35	34	27	26	25	

1	10	11	18	19	20	
2	9	12	17	16	21	
3	8	13	14	15	22	
4	7	32	31	24	23	
5	6	33	30	25	26	
0	35	34	29	28	27	

1	10	11	18	19	20	
2	9	12	17	16	21	
3	8	13	14	15	22	
4	7	26	25	24	23	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	10	11	14	15	16	
2	9	12	13	18	17	
3	8	29	28	19	20	
4	7	30	27	26	21	
5	6	31	32	25	22	
0	35	34	33	24	23	

1	10	11	14	15	16	
2	9	12	13	18	17	
3	8	31	30	19	20	
4	7	32	29	28	21	
5	6	33	26	27	22	
0	35	34	25	24	23	

1	10	11	14	15	16	
2	9	12	13	18	17	
3	8	31	30	19	20	
4	7	32	29	22	21	
5	6	33	28	23	24	
0	35	34	27	26	25	

1	10	11	14	15	16	
2	9	12	13	18	17	
3	8	25	24	19	20	
4	7	26	23	22	21	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	10	11	12	23	24	
2	9	14	13	22	25	
3	8	15	20	21	26	
4	7	16	19	28	27	
5	6	17	18	29	30	
0	35	34	33	32	31	

1	10	11	12	25	26	
2	9	14	13	24	27	
3	8	15	22	23	28	
4	7	16	21	20	29	
5	6	17	18	19	30	
0	35	34	33	32	31	

1	10	11	12	21	22	
2	9	14	13	20	23	
3	8	15	18	19	24	
4	7	16	17	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	10	11	12	25	26	
2	9	14	13	24	27	
3	8	15	16	23	28	
4	7	18	17	22	29	
5	6	19	20	21	30	
0	35	34	33	32	31	

1	10	11	12	19	20	
2	9	14	13	18	21	
3	8	15	16	17	22	
4	7	30	29	28	23	
5	6	31	32	27	24	
0	35	34	33	26	25	

1	10	11	12	19	20	
2	9	14	13	18	21	
3	8	15	16	17	22	
4	7	32	31	30	23	
5	6	33	28	29	24	
0	35	34	27	26	25	

1	10	11	12	19	20	
2	9	14	13	18	21	
3	8	15	16	17	22	
4	7	32	31	24	23	
5	6	33	30	25	26	
0	35	34	29	28	27	

1	10	11	12	19	20	
2	9	14	13	18	21	
3	8	15	16	17	22	
4	7	26	25	24	23	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	10	11	12	13	14	
2	9	26	25	24	15	
3	8	27	28	23	16	
4	7	30	29	22	17	
5	6	31	32	21	18	
0	35	34	33	20	19	

1	10	11	12	13	14	
2	9	28	27	26	15	
3	8	29	24	25	16	
4	7	30	23	22	17	
5	6	31	32	21	18	
0	35	34	33	20	19	

1	10	11	12	13	14	
2	9	28	27	26	15	
3	8	29	30	25	16	
4	7	32	31	24	17	
5	6	33	22	23	18	
0	35	34	21	20	19	

1	10	11	12	13	14	
2	9	30	29	28	15	
3	8	31	26	27	16	
4	7	32	25	24	17	
5	6	33	22	23	18	
0	35	34	21	20	19	

1	10	11	12	13	14	
2	9	22	21	20	15	
3	8	23	24	19	16	
4	7	26	25	18	17	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	10	11	12	13	14	
2	9	30	29	28	15	
3	8	31	26	27	16	
4	7	32	25	18	17	
5	6	33	24	19	20	
0	35	34	23	22	21	

1	10	11	12	13	14	
2	9	24	23	22	15	
3	8	25	20	21	16	
4	7	26	19	18	17	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	10	11	12	13	14	
2	9	20	19	18	15	
3	8	21	22	17	16	
4	7	24	23	28	29	
5	6	25	26	27	30	
0	35	34	33	32	31	

1	10	11	12	13	14	
2	9	28	27	16	15	
3	8	29	26	17	18	
4	7	30	25	24	19	
5	6	31	32	23	20	
0	35	34	33	22	21	

1	10	11	12	13	14	
2	9	30	29	16	15	
3	8	31	28	17	18	
4	7	32	27	26	19	
5	6	33	24	25	20	
0	35	34	23	22	21	

1	10	11	12	13	14	
2	9	30	29	16	15	
3	8	31	28	17	18	
4	7	32	27	20	19	
5	6	33	26	21	22	
0	35	34	25	24	23	

1	10	11	12	13	14	
2	9	24	23	16	15	
3	8	25	22	17	18	
4	7	26	21	20	19	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	10	11	12	13	14	
2	9	18	17	16	15	
3	8	19	24	25	26	
4	7	20	23	28	27	
5	6	21	22	29	30	
0	35	34	33	32	31	

1	10	11	12	13	14	
2	9	18	17	16	15	
3	8	19	26	27	28	
4	7	20	25	24	29	
5	6	21	22	23	30	
0	35	34	33	32	31	

1	10	11	12	13	14	
2	9	18	17	16	15	
3	8	19	22	23	24	
4	7	20	21	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	10	11	12	13	14	
2	9	18	17	16	15	
3	8	19	20	27	28	
4	7	22	21	26	29	
5	6	23	24	25	30	
0	35	34	33	32	31	

1	10	11	12	13	14	
2	9	18	17	16	15	
3	8	19	20	21	22	
4	7	30	29	28	23	
5	6	31	32	27	24	
0	35	34	33	26	25	

1	10	11	12	13	14	
2	9	18	17	16	15	
3	8	19	20	21	22	
4	7	32	31	30	23	
5	6	33	28	29	24	
0	35	34	27	26	25	

1	10	11	12	13	14	
2	9	18	17	16	15	
3	8	19	20	21	22	
4	7	32	31	24	23	
5	6	33	30	25	26	
0	35	34	29	28	27	

1	10	11	12	13	14	
2	9	18	17	16	15	
3	8	19	20	21	22	
4	7	26	25	24	23	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	12	13	14	25	26	
2	11	10	15	24	27	
3	8	9	16	23	28	
4	7	18	17	22	29	
5	6	19	20	21	30	
0	35	34	33	32	31	

1	12	13	14	19	20	
2	11	10	15	18	21	
3	8	9	16	17	22	
4	7	30	29	28	23	
5	6	31	32	27	24	
0	35	34	33	26	25	

1	12	13	14	19	20	
2	11	10	15	18	21	
3	8	9	16	17	22	
4	7	32	31	30	23	
5	6	33	28	29	24	
0	35	34	27	26	25	

1	12	13	14	19	20	
2	11	10	15	18	21	
3	8	9	16	17	22	
4	7	32	31	24	23	
5	6	33	30	25	26	
0	35	34	29	28	27	

1	12	13	14	19	20	
2	11	10	15	18	21	
3	8	9	16	17	22	
4	7	26	25	24	23	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	12	13	14	17	18	
2	11	10	15	16	19	
3	8	9	28	27	20	
4	7	30	29	26	21	
5	6	31	32	25	22	
0	35	34	33	24	23	

1	12	13	14	17	18	
2	11	10	15	16	19	
3	8	9	30	29	20	
4	7	32	31	28	21	
5	6	33	26	27	22	
0	35	34	25	24	23	

1	12	13	14	17	18	
2	11	10	15	16	19	
3	8	9	24	23	20	
4	7	26	25	22	21	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	12	13	14	17	18	
2	11	10	15	16	19	
3	8	9	22	21	20	
4	7	24	23	28	29	
5	6	25	26	27	30	
0	35	34	33	32	31	

1	12	13	14	15	16	
2	11	10	27	26	17	
3	8	9	28	25	18	
4	7	30	29	24	19	
5	6	31	32	23	20	
0	35	34	33	22	21	

1	12	13	14	15	16	
2	11	10	29	28	17	
3	8	9	30	27	18	
4	7	32	31	26	19	
5	6	33	24	25	20	
0	35	34	23	22	21	

1	12	13	14	15	16	
2	11	10	23	22	17	
3	8	9	24	21	18	
4	7	26	25	20	19	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	12	13	14	15	16	
2	11	10	21	20	17	
3	8	9	22	19	18	
4	7	24	23	28	29	
5	6	25	26	27	30	
0	35	34	33	32	31	

1	12	13	14	15	16	
2	11	10	19	18	17	
3	8	9	20	27	28	
4	7	22	21	26	29	
5	6	23	24	25	30	
0	35	34	33	32	31	

1	12	13	14	15	16	
2	11	10	19	18	17	
3	8	9	20	21	22	
4	7	30	29	28	23	
5	6	31	32	27	24	
0	35	34	33	26	25	

1	12	13	14	15	16	
2	11	10	19	18	17	
3	8	9	20	21	22	
4	7	32	31	30	23	
5	6	33	28	29	24	
0	35	34	27	26	25	

1	12	13	14	15	16	
2	11	10	19	18	17	
3	8	9	20	21	22	
4	7	32	31	24	23	
5	6	33	30	25	26	
0	35	34	29	28	27	

1	12	13	14	15	16	
2	11	10	19	18	17	
3	8	9	20	21	22	
4	7	26	25	24	23	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	18	19	20	21	22	
2	17	16	15	24	23	
3	8	9	14	25	26	
4	7	10	13	28	27	
5	6	11	12	29	30	
0	35	34	33	32	31	

1	20	21	22	23	24	
2	19	18	17	16	25	
3	8	9	14	15	26	
4	7	10	13	28	27	
5	6	11	12	29	30	
0	35	34	33	32	31	

1	20	21	22	23	24	
2	19	18	17	26	25	
3	8	9	16	27	28	
4	7	10	15	14	29	
5	6	11	12	13	30	
0	35	34	33	32	31	

1	22	23	24	25	26	
2	21	20	19	18	27	
3	8	9	16	17	28	
4	7	10	15	14	29	
5	6	11	12	13	30	
0	35	34	33	32	31	

1	16	17	18	19	20	
2	15	14	13	22	21	
3	8	9	12	23	24	
4	7	10	11	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	18	19	20	21	22	
2	17	16	15	14	23	
3	8	9	12	13	24	
4	7	10	11	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	14	15	16	17	18	
2	13	12	11	20	19	
3	8	9	10	21	22	
4	7	30	29	28	23	
5	6	31	32	27	24	
0	35	34	33	26	25	

1	14	15	16	17	18	
2	13	12	11	20	19	
3	8	9	10	21	22	
4	7	32	31	30	23	
5	6	33	28	29	24	
0	35	34	27	26	25	

1	14	15	16	17	18	
2	13	12	11	20	19	
3	8	9	10	21	22	
4	7	32	31	24	23	
5	6	33	30	25	26	
0	35	34	29	28	27	

1	14	15	16	17	18	
2	13	12	11	20	19	
3	8	9	10	21	22	
4	7	26	25	24	23	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	22	23	24	25	26	
2	21	20	19	18	27	
3	8	9	10	17	28	
4	7	12	11	16	29	
5	6	13	14	15	30	
0	35	34	33	32	31	

1	16	17	18	19	20	
2	15	14	13	12	21	
3	8	9	10	11	22	
4	7	30	29	28	23	
5	6	31	32	27	24	
0	35	34	33	26	25	

1	16	17	18	19	20	
2	15	14	13	12	21	
3	8	9	10	11	22	
4	7	32	31	30	23	
5	6	33	28	29	24	
0	35	34	27	26	25	

1	16	17	18	19	20	
2	15	14	13	12	21	
3	8	9	10	11	22	
4	7	32	31	24	23	
5	6	33	30	25	26	
0	35	34	29	28	27	

1	16	17	18	19	20	
2	15	14	13	12	21	
3	8	9	10	11	22	
4	7	26	25	24	23	
5	6	27	28	29	30	
0	35	34	33	32	31	

1	18	19	20	21	22	
2	17	14	13	24	23	
3	16	15	12	25	26	
4	7	8	11	28	27	
5	6	9	10	29	30	
0	35	34	33	32	31	

1	16	17	20	21	22	
2	15	18	19	24	23	
3	14	13	12	25	26	
4	7	8	11	28	27	
5	6	9	10	29	30	
0	35	34	33	32	31	

1	20	21	22	23	24	
2	19	16	15	14	25	
3	18	17	12	13	26	
4	7	8	11	28	27	
5	6	9	10	29	30	
0	35	34	33	32	31	

1	20	21	22	23	24	
2	19	16	15	26	25	
3	18	17	14	27	28	
4	7	8	13	12	29	
5	6	9	10	11	30	
0	35	34	33	32	31	

1	18	19	22	23	24	
2	17	20	21	26	25	
3	16	15	14	27	28	
4	7	8	13	12	29	
5	6	9	10	11	30	
0	35	34	33	32	31	

1	22	23	24	25	26	
2	21	18	17	16	27	
3	20	19	14	15	28	
4	7	8	13	12	29	
5	6	9	10	11	30	
0	35	34	33	32	31	

1	16	17	18	19	20	
2	15	12	11	22	21	
3	14	13	10	23	24	
4	7	8	9	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	14	15	18	19	20	
2	13	16	17	22	21	
3	12	11	10	23	24	
4	7	8	9	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	18	19	20	21	22	
2	17	14	13	12	23	
3	16	15	10	11	24	
4	7	8	9	26	25	
5	6	33	32	27	28	
0	35	34	31	30	29	

1	12	13	18	19	20	
2	11	14	17	22	21	
3	10	15	16	23	24	
4	9	8	31	30	25	
5	6	7	32	29	26	
0	35	34	33	28	27	

1	12	13	18	19	20	
2	11	14	17	22	21	
3	10	15	16	23	24	
4	9	8	27	26	25	
5	6	7	28	29	30	
0	35	34	33	32	31	

1	12	13	24	25	26	
2	11	14	23	22	27	
3	10	15	16	21	28	
4	9	8	17	20	29	
5	6	7	18	19	30	
0	35	34	33	32	31	

1	12	13	22	23	24	
2	11	14	21	20	25	
3	10	15	16	19	26	
4	9	8	17	18	27	
5	6	7	32	31	28	
0	35	34	33	30	29	

